keys,en,zh_Hans,ru,es,pt,de,ja,fr,pl,ko,zh_Hant,tr,uk,it,cs,hu,vi,sv,nl,da,id,fi,nb,ro,el,bg
MAIN_MENU_SETTINGS,Settings,设置,Настройки,Ajustes,Configurações,Einstellungen,設定,Paramètres,Ustawienia,설정,設定,Ayarlar,Налаштування,Impostazioni,Nastavení,Beállítások,Cài đặt,Inställningar,Instellingen,Indstillinger,Pengaturan,Asetukset,Innstillinger,Setări,Ρυθμίσεις,Настройки
MAIN_MENU_CREDITS,Credits,制作人员,Авторы,Créditos,Créditos,Mitwirkende,クレジット,Crédits,Twórcy,제작진,製作人員,Emeği geçenler,Автори,Crediti,Tvůrci,Készítők,Đội ngũ thực hiện,Medverkande,Credits,Medvirkende,Kredit,Tekijät,Medvirkende,Autori,Συντελεστές,Създатели
MAIN_MENU_QUIT,Quit,退出,Выход,Salir,Sair,Beenden,終了,Quitter,Wyjdź,종료,離開,Çıkış,Вихід,Esci,Ukončit,Kilépés,Thoát,Avsluta,Afsluiten,Afslut,Keluar,Lopeta,Avslutt,Ieșire,Έξοδος,Изход
LOADING,Loading,加载中,Загрузка,Cargando,Carregando,Laden,読み込み中,Chargement,Wczytywanie,로딩 중,載入中,Yükleniyor,Завантаження,Caricamento,Načítání,Betöltés,Đang tải,Laddar,Laden,Indlæser,Memuat,Ladataan,Laster,Se încarcă,Φόρτωση,Зареждане
SETTINGS_MASTER_VOLUME,Master volume,主音量,Общая громкость,Volumen general,Volume geral,Gesamtlautstärke,マスター音量,Volume général,Głośność ogólna,마스터 볼륨,主音量,Ana ses seviyesi,Загальна гучність,Volume generale,Celková hlasitost,Fő hangerő,Âm lượng tổng,Huvudvolym,Hoofdvolume,Hovedlydstyrke,Volume utama,Päävoimakkuus,Hovedvolum,Volum general,Κύρια ένταση,Обща сила на звука
SETTINGS_MUSIC_VOLUME,Music volume,音乐音量,Громкость музыки,Volumen de la música,Volume da música,Musiklautstärke,BGM音量,Volume de la musique,Głośność muzyki,음악 볼륨,音樂音量,Müzik ses seviyesi,Гучність музики,Volume musica,Hlasitost hudby,Zene hangereje,Âm lượng nhạc,Musikvolym,Muziekvolume,Musiklydstyrke,Volume musik,Musiikin voimakkuus,Musikkvolum,Volum muzică,Ένταση μουσικής,Сила на музиката
SETTINGS_SFX_VOLUME,Sound effects volume,音效音量,Громкость эффектов,Volumen de efectos,Volume dos efeitos,Effektlautstärke,効果音音量,Volume des effets,Głośność efektów,효과음 볼륨,音效音量,Efekt ses seviyesi,Гучність ефектів,Volume effetti,Hlasitost efektů,Effektek hangereje,Âm lượng hiệu ứng,Effektvolym,Effectvolume,Effektlydstyrke,Volume efek suara,Tehosteiden voimakkuus,Effektvolum,Volum efecte,Ένταση εφέ,Сила на ефектите
SETTINGS_BACK,Back,返回,Назад,Volver,Voltar,Zurück,戻る,Retour,Wstecz,뒤로,返回,Geri,Назад,Indietro,Zpět,Vissza,Quay lại,Tillbaka,Terug,Tilbage,Kembali,Takaisin,Tilbake,Înapoi,Πίσω,Назад
PAUSE_CONTINUE,Continue,继续,Продолжить,Continuar,Continuar,Fortsetzen,続ける,Continuer,Kontynuuj,계속하기,繼續,Devam et,Продовжити,Continua,Pokračovat,Folytatás,Tiếp tục,Fortsätt,Hervatten,Fortsæt,Lanjutkan,Jatka,Fortsett,Continuă,Συνέχεια,Продължи
CS2_QUEUE_FOR_MATCH,Queue for match,开始匹配,Найти матч,Buscar partida,Buscar partida,Match suchen,マッチを探す,Rechercher un match,Szukaj meczu,매치 찾기,開始配對,Maç ara,Шукати матч,Cerca partita,Hledat zápas,Meccs keresése,Tìm trận,Sök match,Match zoeken,Søg efter kamp,Cari pertandingan,Etsi ottelu,Søk etter kamp,Caută meci,Αναζήτηση αγώνα,Търси мач
